,real_index,1,8,9,10,11,12
1060,394,2020-8-8 13,33.9,54,1003.4,1.6,88.7
1061,395,2020-8-8 14,34.3,53,1002.6,1.6,57.7
1062,396,2020-8-8 15,34.6,52,1001.9,1.7,64.7
1063,397,2020-8-8 16,34.3,54,1001.3,1.9,76.1
1064,398,2020-8-8 17,34.1,53,1001.2,1.5,101.9
1065,399,2020-8-8 18,33.5,56,1001.1,1.5,117.0
1066,400,2020-8-8 19,32.7,58,1001.4,1.2,76.9
1067,401,2020-8-8 20,31.8,64,1002.0,1.8,235.6
1068,402,2020-8-8 21,30.9,69,1002.5,1.8,259.2
1069,403,2020-8-8 22,30.3,71,1003.0,2.0,255.5
1070,404,2020-8-8 23,29.9,74,1003.0,1.8,245.9
1071,357,2020-8-7 0,28.9,82,1008.5,0.7,105.9
1072,358,2020-8-7 1,28.7,84,1008.0,0.8,90.6
1073,359,2020-8-7 2,28.4,87,1007.4,0.7,78.9
1074,360,2020-8-7 3,28.3,89,1006.7,0.6,58.7
1075,361,2020-8-7 4,28.1,89,1006.2,0.6,51.5
1076,362,2020-8-7 5,27.9,89,1005.8,0.9,62.4
1077,363,2020-8-7 6,28.0,89,1006.1,0.9,71.6
1078,364,2020-8-7 7,28.5,87,1006.4,1.0,54.2
1079,365,2020-8-7 8,29.1,83,1006.9,1.2,67.7
1080,366,2020-8-7 9,29.9,78,1007.4,1.0,50.2
1081,367,2020-8-7 10,30.6,75,1007.5,1.1,50.2
1082,368,2020-8-7 11,31.0,72,1007.2,1.4,57.7
1083,369,2020-8-7 12,32.0,66,1006.7,1.9,99.1
1084,370,2020-8-7 13,32.2,64,1006.1,2.0,79.4
1085,371,2020-8-7 14,33.5,58,1005.4,1.8,88.7
1086,372,2020-8-7 15,33.9,53,1004.7,1.6,122.3
1087,373,2020-8-7 16,33.8,54,1004.3,2.0,112.3
1088,374,2020-8-7 17,33.2,58,1004.2,2.0,119.4
1089,375,2020-8-7 18,32.3,64,1004.0,1.8,116.7
1090,376,2020-8-7 19,31.2,66,1004.4,1.9,114.8
1091,377,2020-8-7 20,30.6,70,1005.0,0.9,72.9
1092,378,2020-8-7 21,30.0,71,1005.4,0.9,349.1
1093,379,2020-8-7 22,29.8,71,1005.8,1.0,327.2
1094,380,2020-8-7 23,29.5,74,1005.8,0.8,350.2
1095,381,2020-8-8 0,29.2,76,1005.7,0.8,313.7
1096,382,2020-8-8 1,28.8,78,1005.5,0.6,353.6
1097,383,2020-8-8 2,28.5,80,1005.2,0.6,344.5
1098,384,2020-8-8 3,28.2,83,1004.7,0.6,72.8
1099,385,2020-8-8 4,27.9,85,1004.6,0.3,37.6
1100,386,2020-8-8 5,27.8,87,1004.6,0.6,70.6
1101,387,2020-8-8 6,28.2,86,1004.9,0.6,47.9
1102,388,2020-8-8 7,29.8,79,1005.1,0.9,54.0
1103,389,2020-8-8 8,30.3,75,1005.3,1.1,56.4
1104,390,2020-8-8 9,31.2,70,1005.4,0.6,272.1
1105,391,2020-8-8 10,31.6,67,1005.1,0.8,77.7
1106,392,2020-8-8 11,32.6,62,1004.7,1.7,64.4
1107,393,2020-8-8 12,33.3,58,1004.1,1.9,70.2
1108,394,2020-8-8 13,33.9,54,1003.4,1.6,88.7
1109,395,2020-8-8 14,34.3,53,1002.6,1.6,57.7
1110,396,2020-8-8 15,34.6,52,1001.9,1.7,64.7
1111,397,2020-8-8 16,34.3,54,1001.3,1.9,76.1
1112,398,2020-8-8 17,34.1,53,1001.2,1.5,101.9
1113,399,2020-8-8 18,33.5,56,1001.1,1.5,117.0
1114,400,2020-8-8 19,32.7,58,1001.4,1.2,76.9
1115,401,2020-8-8 20,31.8,64,1002.0,1.8,235.6
1116,402,2020-8-8 21,30.9,69,1002.5,1.8,259.2
1117,403,2020-8-8 22,30.3,71,1003.0,2.0,255.5
1118,404,2020-8-8 23,29.9,74,1003.0,1.8,245.9
1119,405,2020-8-9 0,29.6,76,1003.0,1.4,251.1
1120,406,2020-8-9 1,29.3,79,1002.9,1.0,271.2
1121,407,2020-8-9 2,29.2,79,1002.7,1.1,234.4
1122,408,2020-8-9 3,29.0,80,1002.6,0.9,234.0
1123,409,2020-8-9 4,28.9,82,1002.6,1.0,236.7
1124,410,2020-8-9 5,28.7,83,1002.4,1.2,263.1
1125,411,2020-8-9 6,28.3,85,1002.9,1.0,263.2
1126,412,2020-8-9 7,28.7,83,1003.4,0.8,270.6
1127,413,2020-8-9 8,30.3,74,1003.4,0.8,242.7
1128,414,2020-8-9 9,31.7,66,1003.3,0.9,246.6
1129,415,2020-8-9 10,32.8,61,1003.0,1.1,255.1
1130,416,2020-8-9 11,33.2,60,1002.6,1.1,253.6
1131,417,2020-8-9 12,33.8,57,1002.0,0.8,256.7
1132,418,2020-8-9 13,33.9,58,1001.5,0.8,39.4
1133,419,2020-8-9 14,34.0,57,1000.9,1.2,98.5
1134,420,2020-8-9 15,34.0,57,1000.3,1.1,91.9
1135,421,2020-8-9 16,34.5,55,999.8,1.3,90.6
1136,422,2020-8-9 17,33.3,63,999.8,1.9,115.4
1137,423,2020-8-9 18,32.6,67,999.8,1.9,78.9
1138,424,2020-8-9 19,31.8,70,1000.2,1.8,280.0
1139,425,2020-8-9 20,31.0,71,1001.2,2.8,244.1
1140,426,2020-8-9 21,30.5,72,1001.8,1.6,256.3
1141,427,2020-8-9 22,30.4,71,1002.3,1.8,245.8
1142,428,2020-8-9 23,30.1,73,1002.2,1.2,241.5
1143,381,2020-8-8 0,29.2,76,1005.7,0.8,313.7
1144,382,2020-8-8 1,28.8,78,1005.5,0.6,353.6
1145,383,2020-8-8 2,28.5,80,1005.2,0.6,344.5
1146,384,2020-8-8 3,28.2,83,1004.7,0.6,72.8
1147,385,2020-8-8 4,27.9,85,1004.6,0.3,37.6
1148,386,2020-8-8 5,27.8,87,1004.6,0.6,70.6
1149,387,2020-8-8 6,28.2,86,1004.9,0.6,47.9
1150,388,2020-8-8 7,29.8,79,1005.1,0.9,54.0
1151,389,2020-8-8 8,30.3,75,1005.3,1.1,56.4
1152,390,2020-8-8 9,31.2,70,1005.4,0.6,272.1
1153,391,2020-8-8 10,31.6,67,1005.1,0.8,77.7
1154,392,2020-8-8 11,32.6,62,1004.7,1.7,64.4
1155,393,2020-8-8 12,33.3,58,1004.1,1.9,70.2
1156,394,2020-8-8 13,33.9,54,1003.4,1.6,88.7
1157,395,2020-8-8 14,34.3,53,1002.6,1.6,57.7
1158,396,2020-8-8 15,34.6,52,1001.9,1.7,64.7
1159,397,2020-8-8 16,34.3,54,1001.3,1.9,76.1
1160,398,2020-8-8 17,34.1,53,1001.2,1.5,101.9
1161,399,2020-8-8 18,33.5,56,1001.1,1.5,117.0
1162,400,2020-8-8 19,32.7,58,1001.4,1.2,76.9
1163,401,2020-8-8 20,31.8,64,1002.0,1.8,235.6
1164,402,2020-8-8 21,30.9,69,1002.5,1.8,259.2
1165,403,2020-8-8 22,30.3,71,1003.0,2.0,255.5
1166,404,2020-8-8 23,29.9,74,1003.0,1.8,245.9
1167,405,2020-8-9 0,29.6,76,1003.0,1.4,251.1
1168,406,2020-8-9 1,29.3,79,1002.9,1.0,271.2
1169,407,2020-8-9 2,29.2,79,1002.7,1.1,234.4
1170,408,2020-8-9 3,29.0,80,1002.6,0.9,234.0
1171,409,2020-8-9 4,28.9,82,1002.6,1.0,236.7
1172,410,2020-8-9 5,28.7,83,1002.4,1.2,263.1
1173,411,2020-8-9 6,28.3,85,1002.9,1.0,263.2
1174,412,2020-8-9 7,28.7,83,1003.4,0.8,270.6
1175,413,2020-8-9 8,30.3,74,1003.4,0.8,242.7
1176,414,2020-8-9 9,31.7,66,1003.3,0.9,246.6
1177,415,2020-8-9 10,32.8,61,1003.0,1.1,255.1
1178,416,2020-8-9 11,33.2,60,1002.6,1.1,253.6
1179,417,2020-8-9 12,33.8,57,1002.0,0.8,256.7
1180,418,2020-8-9 13,33.9,58,1001.5,0.8,39.4
1181,419,2020-8-9 14,34.0,57,1000.9,1.2,98.5
1182,420,2020-8-9 15,34.0,57,1000.3,1.1,91.9
1183,421,2020-8-9 16,34.5,55,999.8,1.3,90.6
1184,422,2020-8-9 17,33.3,63,999.8,1.9,115.4
1185,423,2020-8-9 18,32.6,67,999.8,1.9,78.9
1186,424,2020-8-9 19,31.8,70,1000.2,1.8,280.0
1187,425,2020-8-9 20,31.0,71,1001.2,2.8,244.1
1188,426,2020-8-9 21,30.5,72,1001.8,1.6,256.3
1189,427,2020-8-9 22,30.4,71,1002.3,1.8,245.8
1190,428,2020-8-9 23,30.1,73,1002.2,1.2,241.5
1191,429,2020-8-10 0,29.9,76,1002.2,1.5,239.7
1192,430,2020-8-10 1,29.5,80,1001.9,1.7,257.8
1193,431,2020-8-10 2,29.3,80,1001.7,1.4,246.1
1194,432,2020-8-10 3,29.2,81,1001.8,0.9,333.2
1195,433,2020-8-10 4,29.1,82,1002.1,0.8,249.7
1196,434,2020-8-10 5,29.0,82,1002.2,0.9,84.0
1197,435,2020-8-10 6,28.9,82,1002.5,1.0,62.9
1198,436,2020-8-10 7,29.9,77,1003.0,1.1,104.8
1199,437,2020-8-10 8,30.7,71,1003.3,1.0,249.8
1200,438,2020-8-10 9,31.7,66,1003.4,1.2,233.5
1201,439,2020-8-10 10,33.0,61,1003.3,1.2,230.8
1202,440,2020-8-10 11,33.2,59,1002.8,1.0,163.5
1203,441,2020-8-10 12,34.1,56,1002.1,1.1,128.8
1204,442,2020-8-10 13,34.6,55,1001.6,1.0,259.0
1205,443,2020-8-10 14,34.4,56,1001.2,1.6,72.6
1206,444,2020-8-10 15,34.4,56,1000.4,1.5,112.9
1207,445,2020-8-10 16,33.5,62,1000.2,2.7,110.8
1208,446,2020-8-10 17,32.4,70,1000.4,2.2,120.7
1209,447,2020-8-10 18,32.2,69,1000.4,2.3,123.1
1210,448,2020-8-10 19,31.7,72,1000.7,1.7,108.6
1211,449,2020-8-10 20,31.4,73,1001.4,2.1,246.9
1212,450,2020-8-10 21,30.9,71,1002.2,1.4,299.1
1213,451,2020-8-10 22,30.4,74,1002.4,1.3,323.6
1214,452,2020-8-10 23,30.0,77,1002.6,1.3,303.5
1215,405,2020-8-9 0,29.6,76,1003.0,1.4,251.1
1216,406,2020-8-9 1,29.3,79,1002.9,1.0,271.2
1217,407,2020-8-9 2,29.2,79,1002.7,1.1,234.4
1218,408,2020-8-9 3,29.0,80,1002.6,0.9,234.0
1219,409,2020-8-9 4,28.9,82,1002.6,1.0,236.7
1220,410,2020-8-9 5,28.7,83,1002.4,1.2,263.1
1221,411,2020-8-9 6,28.3,85,1002.9,1.0,263.2
1222,412,2020-8-9 7,28.7,83,1003.4,0.8,270.6
1223,413,2020-8-9 8,30.3,74,1003.4,0.8,242.7
1224,414,2020-8-9 9,31.7,66,1003.3,0.9,246.6
1225,415,2020-8-9 10,32.8,61,1003.0,1.1,255.1
1226,416,2020-8-9 11,33.2,60,1002.6,1.1,253.6
1227,417,2020-8-9 12,33.8,57,1002.0,0.8,256.7
1228,418,2020-8-9 13,33.9,58,1001.5,0.8,39.4
1229,419,2020-8-9 14,34.0,57,1000.9,1.2,98.5
1230,420,2020-8-9 15,34.0,57,1000.3,1.1,91.9
1231,421,2020-8-9 16,34.5,55,999.8,1.3,90.6
1232,422,2020-8-9 17,33.3,63,999.8,1.9,115.4
1233,423,2020-8-9 18,32.6,67,999.8,1.9,78.9
1234,424,2020-8-9 19,31.8,70,1000.2,1.8,280.0
1235,425,2020-8-9 20,31.0,71,1001.2,2.8,244.1
1236,426,2020-8-9 21,30.5,72,1001.8,1.6,256.3
1237,427,2020-8-9 22,30.4,71,1002.3,1.8,245.8
1238,428,2020-8-9 23,30.1,73,1002.2,1.2,241.5
1239,429,2020-8-10 0,29.9,76,1002.2,1.5,239.7
1240,430,2020-8-10 1,29.5,80,1001.9,1.7,257.8
1241,431,2020-8-10 2,29.3,80,1001.7,1.4,246.1
1242,432,2020-8-10 3,29.2,81,1001.8,0.9,333.2
1243,433,2020-8-10 4,29.1,82,1002.1,0.8,249.7
1244,434,2020-8-10 5,29.0,82,1002.2,0.9,84.0
1245,435,2020-8-10 6,28.9,82,1002.5,1.0,62.9
1246,436,2020-8-10 7,29.9,77,1003.0,1.1,104.8
1247,437,2020-8-10 8,30.7,71,1003.3,1.0,249.8
1248,438,2020-8-10 9,31.7,66,1003.4,1.2,233.5
1249,439,2020-8-10 10,33.0,61,1003.3,1.2,230.8
1250,440,2020-8-10 11,33.2,59,1002.8,1.0,163.5
1251,441,2020-8-10 12,34.1,56,1002.1,1.1,128.8
1252,442,2020-8-10 13,34.6,55,1001.6,1.0,259.0
1253,443,2020-8-10 14,34.4,56,1001.2,1.6,72.6
1254,444,2020-8-10 15,34.4,56,1000.4,1.5,112.9
1255,445,2020-8-10 16,33.5,62,1000.2,2.7,110.8
1256,446,2020-8-10 17,32.4,70,1000.4,2.2,120.7
1257,447,2020-8-10 18,32.2,69,1000.4,2.3,123.1
1258,448,2020-8-10 19,31.7,72,1000.7,1.7,108.6
1259,449,2020-8-10 20,31.4,73,1001.4,2.1,246.9
1260,450,2020-8-10 21,30.9,71,1002.2,1.4,299.1
1261,451,2020-8-10 22,30.4,74,1002.4,1.3,323.6
1262,452,2020-8-10 23,30.0,77,1002.6,1.3,303.5
1263,453,2020-8-11 0,29.9,77,1002.7,1.0,341.0
1264,454,2020-8-11 1,29.9,78,1002.5,1.6,235.3
1265,455,2020-8-11 2,29.8,79,1002.4,1.2,248.7
1266,456,2020-8-11 3,29.7,80,1002.3,1.0,265.4
1267,457,2020-8-11 4,29.6,80,1002.3,1.3,258.8
1268,458,2020-8-11 5,29.2,80,1002.5,1.1,284.4
1269,459,2020-8-11 6,29.2,80,1002.9,0.9,76.6
1270,460,2020-8-11 7,30.0,76,1003.6,1.4,110.2
1271,461,2020-8-11 8,31.4,70,1004.1,1.1,145.5
1272,462,2020-8-11 9,32.3,65,1004.1,1.5,237.3
1273,463,2020-8-11 10,33.0,62,1004.1,1.3,212.2
1274,464,2020-8-11 11,32.6,66,1004.0,1.3,74.9
1275,465,2020-8-11 12,30.9,75,1003.6,1.7,108.6
1276,466,2020-8-11 13,30.7,76,1003.2,2.0,100.1
1277,467,2020-8-11 14,29.3,86,1003.0,1.2,83.6
1278,468,2020-8-11 15,31.4,73,1002.4,1.7,89.2
1279,469,2020-8-11 16,31.8,70,1002.7,1.8,104.3
1280,470,2020-8-11 17,31.7,69,1003.1,2.1,98.7
1281,471,2020-8-11 18,31.3,70,1003.5,1.8,59.2
1282,472,2020-8-11 19,30.8,68,1004.2,1.6,49.3
1283,473,2020-8-11 20,30.5,71,1005.4,1.5,42.7
1284,474,2020-8-11 21,30.2,74,1006.0,1.5,111.1
1285,475,2020-8-11 22,30.0,76,1006.6,1.5,110.7
1286,476,2020-8-11 23,29.8,80,1007.0,1.4,103.7
1287,429,2020-8-10 0,29.9,76,1002.2,1.5,239.7
1288,430,2020-8-10 1,29.5,80,1001.9,1.7,257.8
1289,431,2020-8-10 2,29.3,80,1001.7,1.4,246.1
1290,432,2020-8-10 3,29.2,81,1001.8,0.9,333.2
1291,433,2020-8-10 4,29.1,82,1002.1,0.8,249.7
1292,434,2020-8-10 5,29.0,82,1002.2,0.9,84.0
1293,435,2020-8-10 6,28.9,82,1002.5,1.0,62.9
1294,436,2020-8-10 7,29.9,77,1003.0,1.1,104.8
1295,437,2020-8-10 8,30.7,71,1003.3,1.0,249.8
1296,438,2020-8-10 9,31.7,66,1003.4,1.2,233.5
1297,439,2020-8-10 10,33.0,61,1003.3,1.2,230.8
1298,440,2020-8-10 11,33.2,59,1002.8,1.0,163.5
1299,441,2020-8-10 12,34.1,56,1002.1,1.1,128.8
1300,442,2020-8-10 13,34.6,55,1001.6,1.0,259.0
1301,443,2020-8-10 14,34.4,56,1001.2,1.6,72.6
1302,444,2020-8-10 15,34.4,56,1000.4,1.5,112.9
1303,445,2020-8-10 16,33.5,62,1000.2,2.7,110.8
1304,446,2020-8-10 17,32.4,70,1000.4,2.2,120.7
1305,447,2020-8-10 18,32.2,69,1000.4,2.3,123.1
1306,448,2020-8-10 19,31.7,72,1000.7,1.7,108.6
1307,449,2020-8-10 20,31.4,73,1001.4,2.1,246.9
1308,450,2020-8-10 21,30.9,71,1002.2,1.4,299.1
1309,451,2020-8-10 22,30.4,74,1002.4,1.3,323.6
1310,452,2020-8-10 23,30.0,77,1002.6,1.3,303.5
1311,453,2020-8-11 0,29.9,77,1002.7,1.0,341.0
1312,454,2020-8-11 1,29.9,78,1002.5,1.6,235.3
1313,455,2020-8-11 2,29.8,79,1002.4,1.2,248.7
1314,456,2020-8-11 3,29.7,80,1002.3,1.0,265.4
1315,457,2020-8-11 4,29.6,80,1002.3,1.3,258.8
1316,458,2020-8-11 5,29.2,80,1002.5,1.1,284.4
1317,459,2020-8-11 6,29.2,80,1002.9,0.9,76.6
1318,460,2020-8-11 7,30.0,76,1003.6,1.4,110.2
1319,461,2020-8-11 8,31.4,70,1004.1,1.1,145.5
1320,462,2020-8-11 9,32.3,65,1004.1,1.5,237.3
1321,463,2020-8-11 10,33.0,62,1004.1,1.3,212.2
1322,464,2020-8-11 11,32.6,66,1004.0,1.3,74.9
1323,465,2020-8-11 12,30.9,75,1003.6,1.7,108.6
1324,466,2020-8-11 13,30.7,76,1003.2,2.0,100.1
1325,467,2020-8-11 14,29.3,86,1003.0,1.2,83.6
1326,468,2020-8-11 15,31.4,73,1002.4,1.7,89.2
1327,469,2020-8-11 16,31.8,70,1002.7,1.8,104.3
1328,470,2020-8-11 17,31.7,69,1003.1,2.1,98.7
1329,471,2020-8-11 18,31.3,70,1003.5,1.8,59.2
1330,472,2020-8-11 19,30.8,68,1004.2,1.6,49.3
1331,473,2020-8-11 20,30.5,71,1005.4,1.5,42.7
1332,474,2020-8-11 21,30.2,74,1006.0,1.5,111.1
1333,475,2020-8-11 22,30.0,76,1006.6,1.5,110.7
1334,476,2020-8-11 23,29.8,80,1007.0,1.4,103.7
1335,477,2020-8-12 0,29.7,79,1006.9,1.3,100.9
1336,478,2020-8-12 1,29.6,79,1006.7,1.0,35.2
1337,479,2020-8-12 2,29.4,81,1006.2,1.0,97.4
1338,480,2020-8-12 3,28.9,82,1006.0,0.9,86.8
1339,481,2020-8-12 4,28.8,86,1006.2,0.8,90.2
1340,482,2020-8-12 5,28.9,86,1006.3,1.0,91.8
1341,483,2020-8-12 6,28.2,88,1007.1,1.4,90.7
1342,484,2020-8-12 7,27.1,90,1007.7,1.3,89.9
1343,485,2020-8-12 8,27.8,85,1007.8,1.3,100.5
1344,486,2020-8-12 9,28.0,86,1008.0,1.5,97.5
1345,487,2020-8-12 10,28.7,84,1008.1,1.4,69.1
1346,488,2020-8-12 11,29.9,78,1008.0,1.3,99.1
1347,489,2020-8-12 12,30.7,75,1007.4,1.5,75.4
1348,490,2020-8-12 13,29.6,77,1007.0,2.4,122.0
1349,491,2020-8-12 14,26.6,90,1007.8,1.4,190.0
1350,492,2020-8-12 15,26.0,94,1007.8,0.9,267.2
1351,493,2020-8-12 16,26.6,92,1007.8,1.3,114.4
1352,494,2020-8-12 17,26.7,90,1007.5,1.9,95.6
1353,495,2020-8-12 18,25.6,87,1008.1,1.4,47.9
1354,496,2020-8-12 19,25.5,91,1009.3,0.7,52.7
1355,497,2020-8-12 20,25.8,91,1010.2,0.5,37.7
1356,498,2020-8-12 21,26.2,93,1010.9,0.8,69.7
1357,499,2020-8-12 22,27.0,90,1011.2,1.2,96.4
1358,500,2020-8-12 23,26.6,91,1011.0,1.2,97.2
1359,453,2020-8-11 0,29.9,77,1002.7,1.0,341.0
1360,454,2020-8-11 1,29.9,78,1002.5,1.6,235.3
1361,455,2020-8-11 2,29.8,79,1002.4,1.2,248.7
1362,456,2020-8-11 3,29.7,80,1002.3,1.0,265.4
1363,457,2020-8-11 4,29.6,80,1002.3,1.3,258.8
1364,458,2020-8-11 5,29.2,80,1002.5,1.1,284.4
1365,459,2020-8-11 6,29.2,80,1002.9,0.9,76.6
1366,460,2020-8-11 7,30.0,76,1003.6,1.4,110.2
1367,461,2020-8-11 8,31.4,70,1004.1,1.1,145.5
1368,462,2020-8-11 9,32.3,65,1004.1,1.5,237.3
1369,463,2020-8-11 10,33.0,62,1004.1,1.3,212.2
1370,464,2020-8-11 11,32.6,66,1004.0,1.3,74.9
1371,465,2020-8-11 12,30.9,75,1003.6,1.7,108.6
1372,466,2020-8-11 13,30.7,76,1003.2,2.0,100.1
1373,467,2020-8-11 14,29.3,86,1003.0,1.2,83.6
1374,468,2020-8-11 15,31.4,73,1002.4,1.7,89.2
1375,469,2020-8-11 16,31.8,70,1002.7,1.8,104.3
1376,470,2020-8-11 17,31.7,69,1003.1,2.1,98.7
1377,471,2020-8-11 18,31.3,70,1003.5,1.8,59.2
1378,472,2020-8-11 19,30.8,68,1004.2,1.6,49.3
1379,473,2020-8-11 20,30.5,71,1005.4,1.5,42.7
1380,474,2020-8-11 21,30.2,74,1006.0,1.5,111.1
1381,475,2020-8-11 22,30.0,76,1006.6,1.5,110.7
1382,476,2020-8-11 23,29.8,80,1007.0,1.4,103.7
1383,477,2020-8-12 0,29.7,79,1006.9,1.3,100.9
1384,478,2020-8-12 1,29.6,79,1006.7,1.0,35.2
1385,479,2020-8-12 2,29.4,81,1006.2,1.0,97.4
1386,480,2020-8-12 3,28.9,82,1006.0,0.9,86.8
1387,481,2020-8-12 4,28.8,86,1006.2,0.8,90.2
1388,482,2020-8-12 5,28.9,86,1006.3,1.0,91.8
1389,483,2020-8-12 6,28.2,88,1007.1,1.4,90.7
1390,484,2020-8-12 7,27.1,90,1007.7,1.3,89.9
1391,485,2020-8-12 8,27.8,85,1007.8,1.3,100.5
1392,486,2020-8-12 9,28.0,86,1008.0,1.5,97.5
1393,487,2020-8-12 10,28.7,84,1008.1,1.4,69.1
1394,488,2020-8-12 11,29.9,78,1008.0,1.3,99.1
1395,489,2020-8-12 12,30.7,75,1007.4,1.5,75.4
1396,490,2020-8-12 13,29.6,77,1007.0,2.4,122.0
1397,491,2020-8-12 14,26.6,90,1007.8,1.4,190.0
1398,492,2020-8-12 15,26.0,94,1007.8,0.9,267.2
1399,493,2020-8-12 16,26.6,92,1007.8,1.3,114.4
1400,494,2020-8-12 17,26.7,90,1007.5,1.9,95.6
1401,495,2020-8-12 18,25.6,87,1008.1,1.4,47.9
1402,496,2020-8-12 19,25.5,91,1009.3,0.7,52.7
1403,497,2020-8-12 20,25.8,91,1010.2,0.5,37.7
1404,498,2020-8-12 21,26.2,93,1010.9,0.8,69.7
1405,499,2020-8-12 22,27.0,90,1011.2,1.2,96.4
1406,500,2020-8-12 23,26.6,91,1011.0,1.2,97.2
1407,501,2020-8-13 0,26.2,94,1010.3,0.9,85.5
1408,502,2020-8-13 1,26.1,93,1009.7,1.4,105.5
1409,503,2020-8-13 2,25.8,91,1009.3,1.3,106.9
1410,504,2020-8-13 3,25.2,93,1008.8,1.0,93.1
1411,505,2020-8-13 4,25.4,93,1008.4,0.9,86.4
1412,506,2020-8-13 5,25.6,91,1008.2,1.4,102.8
1413,507,2020-8-13 6,25.8,93,1008.5,0.8,62.7
1414,508,2020-8-13 7,26.8,92,1009.2,1.3,82.1
1415,509,2020-8-13 8,28.2,85,1009.5,1.8,105.0
1416,510,2020-8-13 9,29.5,78,1010.0,1.7,111.4
1417,511,2020-8-13 10,26.9,89,1010.4,1.7,172.8
1418,512,2020-8-13 11,26.5,87,1010.5,1.2,98.7
1419,513,2020-8-13 12,29.3,76,1009.9,1.9,221.7
1420,514,2020-8-13 13,27.6,81,1009.7,2.3,173.5
1421,515,2020-8-13 14,27.0,86,1008.9,1.1,96.7
1422,516,2020-8-13 15,28.7,78,1008.3,1.8,113.5
1423,517,2020-8-13 16,29.1,77,1007.7,2.0,122.8
1424,518,2020-8-13 17,29.6,75,1007.4,1.7,103.5
1425,519,2020-8-13 18,29.4,76,1007.5,2.0,117.3
1426,520,2020-8-13 19,28.6,81,1007.8,2.2,120.0
1427,521,2020-8-13 20,28.3,84,1008.5,1.2,109.7
1428,522,2020-8-13 21,28.0,85,1009.0,0.7,83.1
1429,523,2020-8-13 22,28.1,84,1009.4,1.4,108.6
1430,524,2020-8-13 23,27.7,82,1009.3,0.9,106.7
1431,477,2020-8-12 0,29.7,79,1006.9,1.3,100.9
1432,478,2020-8-12 1,29.6,79,1006.7,1.0,35.2
1433,479,2020-8-12 2,29.4,81,1006.2,1.0,97.4
1434,480,2020-8-12 3,28.9,82,1006.0,0.9,86.8
1435,481,2020-8-12 4,28.8,86,1006.2,0.8,90.2
1436,482,2020-8-12 5,28.9,86,1006.3,1.0,91.8
1437,483,2020-8-12 6,28.2,88,1007.1,1.4,90.7
1438,484,2020-8-12 7,27.1,90,1007.7,1.3,89.9
1439,485,2020-8-12 8,27.8,85,1007.8,1.3,100.5
1440,486,2020-8-12 9,28.0,86,1008.0,1.5,97.5
1441,487,2020-8-12 10,28.7,84,1008.1,1.4,69.1
1442,488,2020-8-12 11,29.9,78,1008.0,1.3,99.1
1443,489,2020-8-12 12,30.7,75,1007.4,1.5,75.4
1444,490,2020-8-12 13,29.6,77,1007.0,2.4,122.0
1445,491,2020-8-12 14,26.6,90,1007.8,1.4,190.0
1446,492,2020-8-12 15,26.0,94,1007.8,0.9,267.2
1447,493,2020-8-12 16,26.6,92,1007.8,1.3,114.4
1448,494,2020-8-12 17,26.7,90,1007.5,1.9,95.6
1449,495,2020-8-12 18,25.6,87,1008.1,1.4,47.9
1450,496,2020-8-12 19,25.5,91,1009.3,0.7,52.7
1451,497,2020-8-12 20,25.8,91,1010.2,0.5,37.7
1452,498,2020-8-12 21,26.2,93,1010.9,0.8,69.7
1453,499,2020-8-12 22,27.0,90,1011.2,1.2,96.4
1454,500,2020-8-12 23,26.6,91,1011.0,1.2,97.2
1455,501,2020-8-13 0,26.2,94,1010.3,0.9,85.5
1456,502,2020-8-13 1,26.1,93,1009.7,1.4,105.5
1457,503,2020-8-13 2,25.8,91,1009.3,1.3,106.9
1458,504,2020-8-13 3,25.2,93,1008.8,1.0,93.1
1459,505,2020-8-13 4,25.4,93,1008.4,0.9,86.4
1460,506,2020-8-13 5,25.6,91,1008.2,1.4,102.8
1461,507,2020-8-13 6,25.8,93,1008.5,0.8,62.7
1462,508,2020-8-13 7,26.8,92,1009.2,1.3,82.1
1463,509,2020-8-13 8,28.2,85,1009.5,1.8,105.0
1464,510,2020-8-13 9,29.5,78,1010.0,1.7,111.4
1465,511,2020-8-13 10,26.9,89,1010.4,1.7,172.8
1466,512,2020-8-13 11,26.5,87,1010.5,1.2,98.7
1467,513,2020-8-13 12,29.3,76,1009.9,1.9,221.7
1468,514,2020-8-13 13,27.6,81,1009.7,2.3,173.5
1469,515,2020-8-13 14,27.0,86,1008.9,1.1,96.7
1470,516,2020-8-13 15,28.7,78,1008.3,1.8,113.5
1471,517,2020-8-13 16,29.1,77,1007.7,2.0,122.8
1472,518,2020-8-13 17,29.6,75,1007.4,1.7,103.5
1473,519,2020-8-13 18,29.4,76,1007.5,2.0,117.3
1474,520,2020-8-13 19,28.6,81,1007.8,2.2,120.0
1475,521,2020-8-13 20,28.3,84,1008.5,1.2,109.7
1476,522,2020-8-13 21,28.0,85,1009.0,0.7,83.1
1477,523,2020-8-13 22,28.1,84,1009.4,1.4,108.6
1478,524,2020-8-13 23,27.7,82,1009.3,0.9,106.7
1479,525,2020-8-14 0,27.2,86,1008.9,1.0,85.0
1480,526,2020-8-14 1,27.1,88,1008.2,0.8,81.7
1481,527,2020-8-14 2,26.8,91,1007.7,0.5,50.2
1482,528,2020-8-14 3,26.7,92,1007.4,0.4,33.1
1483,529,2020-8-14 4,26.6,93,1007.5,0.6,19.5
